key,hash,Component Name,component description,Component Price,amount to reorder,amount in stock,minimum stock,manufacturer key
1,,TRUCK CENTER,,29.35,500,40,0,1
2,,TRUCK WING FW-LFT,,14.95,500,40,0,1
3,,TRUCK WING FW-RT,,14.95,500,25,0,1
4,,TRUCK WING DW-LFT,,14.95,500,400,0,1
5,,TRUCK WING DW-RT,,14.95,500,500,0,1
6,,MOTOR MOUNT PLATE LFT,,12.92,500,20,0,1
7,,MOTOR MOUNT PLATE RT,,12.92,500,25,0,1
8,,MOTOR GEAR COVER,,5.59,500,765,0,1
9,,DRIVE BELT HTD 415/335 5M 15,,2.25,100,100,0,2
10,,CABLE CLAMP,,2.00,150,67,0,11
11,,AXLE BEARING SPACER,,0.25,3800,234,0,4
12,,M6 X18 SS FH SOCKET SCREW BO,,0.16,500,256,0,5
13,,PIVOT AXLE,,4.31,1000,367,0,1
14,,BEARING SPACERS,,0.85,500,124,0,6
15,,6900 LLU MAX BEARING 10 X 22 X 6,,2.15,700,333,0,4
16,,M8 SS LOCKNUT BO (NYLON INSERT),,0.17,700,123,0,5
17,,M8 SS FLAT WASHER BO,,0.03,600,234,0,5
18,,M8 X125 GRADE 12.9 SOCKET BOLT DCRMT/BLK,,0.50,1000,234,0,5
19,,M10 SS LOCKNUT BO (NYLON INSERT),,0.25,500,346,0,5
20,,M10 SS 1mm SPACER-WASHER,,0.10,1000,234,0,6
21,,M10 X180 GRADE 12.9 SOCKET BOLT DCRMT/BLK,,1.75,750,700,0,5
22,,TORSION SPRING 6.5 TRN/LFT-H CS,,0.65,3000,2678,0,7
23,,TORSION SPRING 6.5 TRN/RT-H CS,,0.65,3000,256,0,7
24,,TORSION SPRING 6 TRN/LFT-H CS,,0.65,3000,2352,0,7
25,,TORSION SPRING 6 TRN/RT-H CS,,0.65,3000,1579,0,7
26,,M8 X14/16 SS SOCKET CAP BOLT BO,,0.40,4000,3765,0,5
27,,M8 SS CONICAL SPRING WASHER BO,,0.20,1000,300,0,5
28,,URETHANE BUMPER,,0.24,500,25,0,9
29,,INNER BEARING SPACER,,0.25,1000,550,0,6
30,,OUTER BEARING SPACER,,0.85,5000,450,0,6
31,,"5/16""-24 AXLE LOCKNUT BO (NYLON INSERT)",,0.17,3000,356,0,5
32,,SB-HD WHEEL AXLE,,2.70,3000,2578,0,1
33,,"3/8""-24 PIVOT AXLE LOCKNUT BO (NYLON INSERT)",,0.25,3000,2546,0,5
34,,SB-PIVOT BOLT 40Cr,,5.35,2000,227,0,5
35,,URETHANE DAMPENING BUSHING,,0.15,2000,1289,0,5
36,,P.A. CONICAL HANDLE (PRELOAD HANDLE),,0.20,5000,4589,0,9
37,,M8 STEEL BO SETUP STUD DOUBLE THREAD,,1.00,500,350,0,5
38,,M6 X14 SS BO LOW PROFILE SOCKET HEAD SCREW,,0.25,1000,875,0,5
39,,M6 SS BO HIGH COLLAR SPLIT LOCK WASHER,,0.10,2000,1534,0,10
40,,3D MOTOR GEAR COVER,,10.00,2500,90,0,11
41,,TS BASE FLANGE,,8.95,2000,1000,0,2
42,,TS PIVOT PLATE,,11.52,2000,1000,0,2
43,,TS HANDLE PIVOT,,15.00,2000,1000,0,2
44,,HANDLE TUBE,,0.72,2000,1000,0,12
45,,GRIP (CUSTOM MOLD ASSEMBLY & CLAMP),,4.40,2000,1000,0,13
46,,3D GRIP CAP,,1.00,2000,1000,0,13
49,,M8 X45 SS SOCKET BOLT,,0.33,2000,1000,0,14
50,,M5 SS LOCK WASHER (SPLIT),,0.02,2000,1000,0,5
51,,M5 X30 SS BH SOCKET SCREW,,0.07,4000,2000,0,4
52,,608 LLU MAX BEARING 8 X 22 X 7,,4.00,2000,1000,0,6
53,,BEARING SPACER 8 X 12 X 16 (AL),,0.30,2000,1000,0,7
54,,DETENT SPRING SS 9.5  X 15,,0.08,2000,1000,0,2
55,,TS DETENT CUSTOM PIN-CYLINDER,,1.50,2000,1000,0,2
56,,M6 X40 SS FH SOCKET SCREW BO,,0.18,2000,1000,0,5
57,,DETENT LEVER,,6.00,2000,1000,0,2
58,,"DELRIN GLIDE CYLINDER .25"" X 5mm",,0.50,8000,4000,0,2
60,,M8 X20 SS BH SOCKET SCREW BO,,0.15,2000,1000,0,5
61,,"#10-32 X 1 1/2"" BASE PLATE SCREW SET (BZ)",,0.96,2000,1000,0,5
62,,"#10-32 X 2"" BASE PLATE SCREW SET (BZ)",,1.04,2000,2000,0,14
63,,"#10-32 X 2 1/4"" BASE PLATE SCREW SET (BZ)",,1.34,2000,1000,0,14
64,,M5 SS CONICAL SPRING WASHER BO,,0.15,2000,1000,0,14
65,,M5 X12 SS BH SOCKET SCREW BO,,0.10,2000,1000,0,14
66,,5mm RISER SPACER,,2.98,4000,2000,0,6
67,,10mm RISER SPACER,,2.98,4000,2000,0,6