Product Type,Inventory ID,Component Description,Qty
1,41,TS BASE FLANGE,1
1,42,TS PIVOT PLATE,1
1,43,TS HANDLE PIVOT,1
1,44,HANDLE TUBE,1
1,45,GRIP (CUSTOM MOLD ASSEMBLY & CLAMP),1
1,46,3D GRIP CAP,1
1,17,M8 SS FLAT WASHER,1
1,16,M8 SS LOCKNUT (NYLON INSERT),1
1,49,M8 X45 SS SOCKET BOLT,1
1,50,M5 SS LOCK WASHER (SPLIT),1
1,51,M5 X30 SS BH SOCKET SCREW,1
1,52,608 LLU MAX BEARING 8 X 22 X 7,2
1,53,BEARING SPACER 8 X 12 X 16 (AL),1
1,54,DETENT SPRING SS 9.5  X 15,1
1,55,TS DETENT CUSTOM PIN-CYLINDER,1
1,56,M6 X40 SS FH SOCKET SCREW BO,1
1,57,DETENT LEVER,1
1,58,"DELRIN GLIDE CYLINDER .25"" X 5mm",4
1,27,M8 SS CONICAL SPRING WASHER BO,2
1,60,M8 X20 SS BH SOCKET SCREW BO,1
1,61,"#10-32 X 1 1/2"" BASE PLATE SCREW SET (BZ)",1
1,62,"#10-32 X 2"" BASE PLATE SCREW SET (BZ)",1
1,63,"#10-32 X 2 1/4"" BASE PLATE SCREW SET (BZ)",1
1,64,M5 SS CONICAL SPRING WASHER BO,1
1,65,M5 X12 SS BH SOCKET SCREW BO,1
1,66,5mm RISER SPACER,2
1,67,10mm RISER SPACER,2
2,1,TRUCK CENTER,2
2,2,TRUCK WING FW-LFT,1
2,3,TRUCK WING FW-RT,1
2,4,TRUCK WING DW-LFT,1
2,5,TRUCK WING DW-RT,1
2,6,MOTOR MOUNT PLATE LFT,1
2,7,MOTOR MOUNT PLATE RT,1
2,40,3D MOTOR GEAR COVER,2
2,9,DRIVE BELT HTD 415/335 5M 15,2
2,29,INNER BEARING SPACER,4
2,12,M6 X18 SS FH SOCKET SCREW BO,2
2,13,PIVOT AXLE,2
2,30,OUTER BEARING SPACER,8
2,15,6900 LLU MAX BEARING 10 X 22 X 6,8
2,31,"5/16""-24 AXLE LOCKNUT BO (NYLON INSERT)",4
2,17,M8 SS FLAT WASHER BO,4
2,32,SB-BD WHEEL AXLE,4
2,33,"3/8""-24 PIVOT AXLE LOCKNUT BO (NYLON INSERT)",2
2,20,M10 SS 1mm SPACER-WASHER,4
2,34,SB-PIVOT BOLT 40Cr,2
2,22,TORSION SPRING 6.5 TRN/LFT-H CS,2
2,23,TORSION SPRING 6.5 TRN/RT-H CS,2
2,24,TORSION SPRING 6 TRN/LFT-H CS,2
2,25,TORSION SPRING 6 TRN/RT-H CS,2
2,26,M8 X14/16 SS SOCKET CAP BOLT BO,2
2,27,M8 SS CONICAL SPRING WASHER BO,2
2,28,URETHANE BUMPER,4
2,35,URETHANE DAMPENING BUSHING,4
2,36,P.A. CONICAL HANDLE (PRELOAD HANDLE),1
2,37,M8 STEEL BO SETUP STUD DOUBLE THREAD,1
2,38,M6 X14 SS BO LOW PROFILE SOCKET HEAD SCREW,4
2,39,M6 SS BO HIGH COLLAR SPLIT LOCK WASHER,4
3,1,TRUCK CENTER,2
3,2,TRUCK WING FW-LFT,2
3,3,TRUCK WING FW-RT,2
3,14,PIVOT AXLE,2
3,29,INNER BEARING SPACER,4
3,30,OUTER BEARING SPACER,8
3,15,6900 LLU MAX BEARING 10 X 22 X 6,8
3,31,"5/16""-24 AXLE LOCKNUT BO (NYLON INSERT)",4
3,17,M8 SS FLAT WASHER BO,8
3,32,SB-HD WHEEL AXLE,4
3,33,"3/8""-24 PIVOT AXLE LOCKNUT BO (NYLON INSERT)",2
3,20,M10 SS 1mm SPACER-WASHER,4
3,34,SB-PIVOT BOLT 40Cr,2
3,22,TORSION SPRING 6.5 TRN/LFT-H CS,2
3,23,TORSION SPRING 6.5 TRN/RT-H CS,2
3,24,TORSION SPRING 6 TRN/LFT-H CS,2
3,25,TORSION SPRING 6 TRN/RT-H CS,2
3,26,M8 X14/16 SS SOCKET CAP BOLT BO,2
3,27,M8 SS CONICAL SPRING WASHER BO,2
3,28,URETHANE BUMPER,4
3,35,URETHANE DAMPENING BUSHING,4
3,36,P.A. CONICAL HANDLE (PRELOAD HANDLE),1
3,37,M8 STEEL BO SETUP STUD DOUBLE THREAD,1
3,38,M6 X14 SS BO LOW PROFILE SOCKET HEAD SCREW,4
3,39,M6 SS BO HIGH COLLAR SPLIT LOCK WASHER,4